paperDOI,authorID,correspondingAuthor
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,87769689,True
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,29405263,False
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,2123062285,False
2d93d27fb07fc43bb1e430c37f802586bc9aaf00,1719412,False
f92922a9fe4e6bb603291249796d80d09d1fd9f3,2319574187,True
f92922a9fe4e6bb603291249796d80d09d1fd9f3,2319226126,False
0e98bd81aadc503e77411e17eafd9bfe58ac33a4,8650106,True
0e98bd81aadc503e77411e17eafd9bfe58ac33a4,120187198,False
0e98bd81aadc503e77411e17eafd9bfe58ac33a4,48883481,False
f08060425aa8a212d74185ee23a08329b89abcd2,46506460,True
f08060425aa8a212d74185ee23a08329b89abcd2,2427076,False
f08060425aa8a212d74185ee23a08329b89abcd2,93584228,False
f08060425aa8a212d74185ee23a08329b89abcd2,2153575781,False
f08060425aa8a212d74185ee23a08329b89abcd2,49454094,False
f08060425aa8a212d74185ee23a08329b89abcd2,2117941801,False
f08060425aa8a212d74185ee23a08329b89abcd2,89356020,False
f08060425aa8a212d74185ee23a08329b89abcd2,1563693999,False
f08060425aa8a212d74185ee23a08329b89abcd2,2226485816,False
f08060425aa8a212d74185ee23a08329b89abcd2,48860334,False
f08060425aa8a212d74185ee23a08329b89abcd2,2047844,False
f08060425aa8a212d74185ee23a08329b89abcd2,46354410,False
f08060425aa8a212d74185ee23a08329b89abcd2,2188778449,False
f08060425aa8a212d74185ee23a08329b89abcd2,2226475487,False
f08060425aa8a212d74185ee23a08329b89abcd2,143967473,False
f08060425aa8a212d74185ee23a08329b89abcd2,1764249,False
f08060425aa8a212d74185ee23a08329b89abcd2,1702139,False
f08060425aa8a212d74185ee23a08329b89abcd2,2110264337,False
f08060425aa8a212d74185ee23a08329b89abcd2,2613935,False
f08060425aa8a212d74185ee23a08329b89abcd2,2226493959,False
f08060425aa8a212d74185ee23a08329b89abcd2,2378027,False
f08060425aa8a212d74185ee23a08329b89abcd2,2159642226,False
f08060425aa8a212d74185ee23a08329b89abcd2,1738536,False
f08060425aa8a212d74185ee23a08329b89abcd2,2115854801,False
f08060425aa8a212d74185ee23a08329b89abcd2,3444569,False
f08060425aa8a212d74185ee23a08329b89abcd2,2228923747,False
f08060425aa8a212d74185ee23a08329b89abcd2,2181109681,False
f08060425aa8a212d74185ee23a08329b89abcd2,13027820,False
f08060425aa8a212d74185ee23a08329b89abcd2,1865800402,False
f08060425aa8a212d74185ee23a08329b89abcd2,2095762,False
