conferenceID,name,type
d4610af5-85e0-480b-8773-5c71d92a7b99,International Conference on Architectural Support for Programming Languages and Operating Systems,conference
e4e999b7-2be0-4bd0-ad3b-7afd3fe50a4d,Grid Computing Environments,conference
d13e941e-4cac-4f1d-bdca-77d927e31f1b,ACM Symposium on Cloud Computing,conference
e448ade4-5d3c-4040-b6a5-edfc5fd3e0e5,International Conference & Workshop on Emerging Trends in Technology,conference
d8ec66ab-0083-4a4d-bf44-ce85d2daad69,Hawaii International Conference on System Sciences,conference
3f2626a8-9d78-42ca-9e0d-4b853b59cdcc,IEEE International Conference on Robotics and Automation,conference
49ffa32e-34da-480d-b54f-fffae4bdd30f,International Conference on Advanced Robotics,conference
7ed86435-f510-45fe-b582-c212782023aa,International Conference on Software Composition,conference
82901c74-dc2e-4d08-b633-637c7e209284,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication",conference
36e4bc17-266a-4715-9b27-2be27e1e994e,IEEE International Symposium on Workload Characterization,conference
acd15a6d-3248-41fb-8439-9a40aabe5608,IEEE Workshop/Winter Conference on Applications of Computer Vision,conference
ed2921d1-8132-4e3d-bdd9-60eb0338de5c,"International Symposium on Modeling and Optimization in Mobile, Ad-Hoc and Wireless Networks",conference
4b02e809-1c26-4203-b9ba-311a418f664b,International Conference on 3D Vision,conference
0d6f7fba-7092-46b3-8039-93458dba736b,"IEEE International Conference on Acoustics, Speech, and Signal Processing",conference
a5c58053-0673-4cdb-b2b8-b6b0ad6911d1,Very Large Data Bases Conference,conference
91d4ecad-d022-4953-901e-c5c57c614f72,Asia-Pacific Computer Systems Architecture Conference,conference
5552b3d9-73b0-435f-8515-a135f23fcbba,Conference on Emerging Network Experiment and Technology,conference
74e6c5a5-321b-4cb0-b592-5ec327daa5ab,SeCO Workshops,conference
7f92b1d2-f2b3-454d-adbe-ff02c83fe404,IEEE Conference on Computer Communications,conference
d411469a-3c14-4333-839d-6deea91282f6,Managed Languages & Runtimes,conference
6c6fcaa9-fd25-488b-8050-995227ac671c,Symposium on Operating Systems Principles,conference
b63861a6-ab0a-47a4-9f6c-accf03b5a180,Iberian Conference on Information Systems and Technologies,conference
deedf64a-dd5c-4b33-b345-ff83bfb93d71,International Symposium on Computer Architecture,conference
42ad1c65-dc2f-448c-bbbf-483b016441b3,USENIX Workshop on Hot Topics in Cloud Computing,conference
41929b26-d887-42cf-97f1-1217a0a9e315,"ACM SIGMOBILE International Conference on Mobile Systems, Applications, and Services",conference
9f9bc842-9346-455f-ab6c-604515d2a850,Future Network & Mobile Summit,conference
9448f839-459b-45f3-8573-5eff3f032334,USENIX Annual Technical Conference,conference
98df1955-ca33-4769-bae4-e4dcfaa5e258,Workshop on Automated Control for Datacenters and Clouds,conference
ffe5bb5c-04ed-488e-985d-d3a7b39542cf,IEEE International Conference on Distributed Computing Systems,conference
c6ced65d-fcf7-4e5f-bedd-01360247ebbe,"IEEE International Symposium on Personal, Indoor and Mobile Radio Communications",conference
d2423c06-c1fe-458d-bf8a-cc24aefe3f59,International Conference on Future Internet of Things and Cloud,conference
406d9f60-417a-4dc5-a6b7-1fe4689a4ff7,IEEE International Conference on Cloud Computing,conference
fbfbf10a-faa4-4d2a-85be-3ac660454ce3,Conference on Robot Learning,conference
809f6dd1-7dd8-4d79-a46d-4726c3a67128,European Conference on Information Systems,conference
0759e6b4-b007-4a19-b781-9244bc4b47da,"International Conference on Information Systems, Technology and Management",conference
6942697c-b275-4b4d-8d51-e2a455c24b16,IEEE International Conference on Computational Science and Engineering,conference
da625a67-4bac-4737-81b6-af5459021b72,Embedded Systems and Applications,conference
e1ce0fed-d655-40bd-b678-9adc73f2e582,International Symposium on High Performance Computing Systems and Applications,conference
0942fb86-c16f-4084-9902-10ddcfe18180,Micro,conference
123978fb-38e5-4782-b169-3a4bf85fc7cc,International Conference on Internet and Distributed Computing Systems,conference
38e1b942-a62d-4d74-8e5d-677db6ed425f,Symposium on Networked Systems Design and Implementation,conference
f1578ab7-fdcf-45fe-85bc-8cde8d58b357,International Provenance and Annotation Workshop,conference
48c16163-36d3-4db2-9fad-44f4c5eb7007,IEEE/ACM International Conference on Grid Computing,conference
966ed49f-abb2-4051-a7e7-c966d9426b85,International Conference on Network of the Future,conference
528ced1f-e949-4e1a-8fee-2ffbf0be551d,Conference on Innovative Data Systems Research,conference
a8f26d13-e373-4e48-b57b-ef89bf48f4db,Asian Conference on Computer Vision,conference
e6336efd-c907-4dc5-9ba7-062cd38116bc,International Symposium on Experimental Robotics,conference
73f7fe95-b68b-468f-b7ba-3013ca879e50,Conference on Computer and Communications Security,conference
d5c438cd-5c61-4aab-bbd2-fb7017697e90,"IEEE International Conference on Mobile Cloud Computing, Services, and Engineering",conference
df1eaf0d-ad97-42c4-b74d-8282963e44f5,International Conference on Information Engineering and Computer Science,conference
14d0272a-18b8-4a25-834b-cf3b120b226f,International Conference on Open and Big Data,conference
fe526af8-da0b-4a52-925c-e0e345537a7e,International Conference on Wireless Communications and Signal Processing,conference
1940eb2a-ba0e-4c54-a315-a1b1afdeb2bc,International Conference on Computer Vision Theory and Applications,conference
60408b8b-149f-442e-bf15-86cb734cd1bb,Grid and Pervasive Computing,conference
60c9a57f-2d17-4c7c-a0de-8e673a1a109a,International Workshop on Signal Processing Advances in Wireless Communications,conference
9012153e-aed6-447e-bccf-4aaf6f4bf52f,IEEE International Conference on Consumer Electronics,conference
975e1529-a14b-436f-ad7e-a09d8eabc50d,IEEE International Conference on Multimedia and Expo,conference
78a7fbcc-41c5-4258-b633-04b8637d4a9f,British Machine Vision Conference,conference
27235614-bd3e-4d6b-be38-5ede18f4e209,IEEE Wireless Communications and Networking Conference,conference
d5cf5a9a-4326-4c15-94ca-f695f9423b3d,International Conference on Computer Analysis of Images and Patterns,conference
54649c1d-6bcc-4232-9cd1-aa446867b8d0,USENIX Security Symposium,conference
e29f3ae1-4574-4fd4-9f5b-498495cb7952,USENIX Workshop on Hot Topics in Operating Systems,conference
b198f59e-0da6-4b35-b995-a02322b9dada,IEEE International Conference on Services Computing,conference
911e7332-8ea8-4e9d-bc20-5572a2523f92,International Middleware Conference,conference
f2c85de5-7cfa-4b92-8714-a0fbdcf0274e,ACM Multimedia,conference
43893b55-fde6-4e2b-9d2e-c15a669a1f94,ACM Symposium on Parallelism in Algorithms and Architectures,conference
8dd74ddb-b539-4873-843e-f4b9e89ecb74,IEEE Congress on Services,conference
b7aa40ac-729b-49d6-9064-4d1a9480e9a9,International Symposium on High-Performance Computer Architecture,conference
34342fcb-3fe0-45c6-a017-6e65b73d030f,IEEE International Conference on e-Science,conference
a00a1a4f-16c6-4360-a8b3-a3f88d2fe78f,ACM-SIGPLAN Symposium on Programming Language Design and Implementation,conference
c57e0966-f80c-4bbb-aadb-b6a0842e1390,IEEE International Conference on High Performance Computing and Communications,conference
8e4e4cfa-2545-4975-9460-523109898f41,USENIX workshop on Tackling computer systems problems with machine learning techniques,conference
40d86af2-d3d2-4bcf-881d-2891e0ffc9cf,"International Conference on Electronics, Communications and Control",conference
87fc9c3c-cc7f-42aa-ba71-2700729a6788,ACM Asia Conference on Computer and Communications Security,conference
fe4d09f8-d278-4bfb-b73a-1a6a0e22f6a3,American Control Conference,conference
bc5a5118-8f5c-49c7-806e-fb8d44c10ae7,International Conference on Neural Information Processing,conference
6be078fe-e448-4123-8096-25493e7a2502,ARES,conference
47c47088-7640-441b-85ba-375fe8f5c3a4,International Conference on Computing Communication and Networking Technologies,conference
5f9127e9-2d7b-4a9c-b0c6-fd3cb456d431,Mediterranean Conference on Embedded Computing,conference
c2c2a41a-3e77-4316-be80-b0e1e359eafd,Control and System Graduate Research Colloquium,conference
eed1ae5e-6152-44eb-8c1c-eda80eb227dc,IEEE PES Innovative Smart Grid Technologies Conference,conference
1c2ab05c-7d69-465e-929d-0920857aedce,International Conference on Automated Software Engineering,conference
9c119da6-ab17-4403-854e-786882dbf352,Decision Support Systems,conference
1d55d186-c439-4cb2-9e32-c7dd3785fe7d,International Colloquium on Signal Processing and Its Applications,conference
0bddd5d7-2897-495a-a961-465abe6e04de,European Symposium on Research in Computer Security,conference
