paperDOI,journalID,year,volume
10f919b1a5161b560504c225cfb2d1b3a4768f80,f46dbd50-8ba0-47aa-9649-1ba237101795,2017.0,2.0
530a059cb48477ad1e3d4f8f4b153274c8997332,06afdd0b-0d85-413f-af8a-c3045c12c561,2019.0,58.0
8ebd4ae177fb1a62298d19891fd6e45e2a5f7685,qkvby2s6,2022.0,17.0
21dff47a4142445f83016da0819ffe6dd2947f66,2633f5b2-c15c-49fe-80f5-07523e770c26,2018.0,6.0
378236591fc05e79204fd904e9f864efa31cdc74,3c27e831-750f-45bc-9914-2148a5259eba,2023.0,4.0
3ddbc58b463156b83c1a6ab792c98898e32aeb7d,1a24ea21-4c37-41d8-9e76-ab802d4afb3e,2023.0,120.0
2eeff0f534d303581bc1199671600fbd04a2d01c,8775599f-4f9a-45f0-900e-7f4de68e6843,2023.0,86.0
b8f20b0b8a37e7b2e19d416fba80d147b75c887f,05c98766-3157-44f5-bafb-c585fae8f118,2023.0,71.0
0e98bd81aadc503e77411e17eafd9bfe58ac33a4,82zbugtr,2023.0,59.0
b9ede5f604668d0b62a306392cd03f47086e245e,db36cc4c-07df-41a8-9169-9ace7e520923,2018.0,18.0
f134abeaf9bfd41f29b97aec675ec31895bf541d,9e995b6d-f30b-4ab4-a13b-3dc2cc992f47,2019.0,25.0
8d984ee2eeabb630014f31fc759d4980830c4bdb,6fe3a1b3-be8f-4bf7-9b30-d8c9fbf0ecb3,2023.0,27.0
9dafa6c5c609348b46734fc8997b93b3587fec6e,j6nmojko,2023.0,78.0
7b72711ac2ea7bd7f519cac162a4a6578bbb7d0d,f963a178-be9f-4f29-95bb-0d56a45d63db,2023.0,8.0
ff97adbdf7ba45c08c6abe277aba04b41e85e5b0,dda0a41e-efcd-40e6-87f7-a663355aceb3,2023.0,3.0
8d020275181c69e5e768c6ffc40e09710a6f54f1,f59506a8-d8bb-4101-b3d4-c4ac3ed03dad,2023.0,381.0
4583725945ff17f139215b210878b0a2e2d29bc2,dc31f077-7737-4e33-baa3-bceeff44ec27,2023.0,1.0
8dbd57469bb32e6d57f23f5e765bf1c9ac8e080c,1901e811-ee72-4b20-8f7e-de08cd395a10,2023.0,1.0
635c01476986099adc4ce122bb28ebc6deb46671,vy3mwxy7,2023.0,4.0
288078127a3078332230442170f6745ed333c700,caaf5272-62ff-4d9d-8b6c-d48ec7570104,2023.0,16.0
973650310963f8cdc39c71e79724513004adde2a,e61e15db-fac7-46d9-aa5f-d9c9fdbfea36,2023.0,2.0
4b4279db68b16e20fbc56f9d41980a950191d30a,m3h6g32r,1992.0,1.0
f92922a9fe4e6bb603291249796d80d09d1fd9f3,dc8f13a2-4e40-4171-8418-7e5648ecf441,2024.0,96.0
5c128102d50d7ed96784ece1eb25533bb4ff3078,67517472-2d93-47a6-bd2c-91a930bee4da,2023.0,93.0
bb01d7be9b49c8a018e134c7f132c39b7d9973ad,06afdd0b-0d85-413f-af8a-c3045c12c561,2023.0,99.0
a7a407968c13ced804a063259d72315a43b84f29,2633f5b2-c15c-49fe-80f5-07523e770c26,2020.0,8.0
f08060425aa8a212d74185ee23a08329b89abcd2,6c24a0a0-b07d-4d7b-a19b-fd09a3ed453a,2023.0,620.0
de4b9bc12ddb6b9f6090c032ef5c6290bd64ef36,82cd90f0-386f-4446-b237-6404c27f6a15,2017.0,823.0
b67cb8cac83ec0cb683d5378a0ca4d96c8176013,8e556baf-a09b-4dd8-a7ef-9f5c2242f6b8,2023.0,234.0
e1d2f2a717aa03280126f87c8e5fad695f52bf7c,50c199ea-1ec5-4c24-a902-d9ce8d810efa,2023.0,48.0
5cde474869cb230a29b3ba0f6f685f5162b1a1a1,f8577c85-ad24-40a3-b6d3-c70fb53037ba,2023.0,23.0
e89dfa306723e8ef031765e9c44e5f6f94fd8fda,96018464-22dc-4b5c-a172-c2f4a30ce131,2017.0,267.0
